#KEY	SRR10084977_2	SRR10084978_2	SRR10084979_2	SRR10084980_2	SRR10084981_2	SRR10084982_2	SRR10084983_2	SRR10084984_2	SRR10084985_2	SRR10084986_2	SRR10084987_2	SRR10084988_2	SRR10084989_2	SRR10084990_2	SRR10084991_2	SRR10084992_2	SRR10084993_2	SRR10084994_2
1	1101	1128	623	824	1635	856	1618	1097	954	914	1106	975	812	198	1033	910	1377	836
10	8	45	0	0	52	0	0	67	6	0	24	0	0	22	0	8	41	2
100	321	289	661	296	370	711	513	485	696	298	250	538	365	233	547	453	333	303
1000	35177	19359	25615	38791	18148	22307	45772	23458	25419	31256	15997	33336	34953	40821	32980	37267	25734	20584
10000	26	20	58	50	21	31	60	32	36	31	18	132	27	47	73	46	35	86
100008587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100008588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100008589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100009601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100009602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100009605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100009606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100009607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100009613	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1
100009676	258	156	183	206	222	168	261	248	187	175	124	224	293	225	220	305	253	197
10001	1026	918	1862	1056	1242	1854	1224	1377	1456	697	983	1728	1057	887	1705	1175	1254	1297
10002	22	35	12	6	13	36	22	44	16	14	42	11	26	3	29	38	25	23
10003	192	171	657	217	241	849	235	418	719	102	275	474	549	249	704	803	346	286
100033411	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
100033413	10	5	4	11	2	5	10	7	24	16	4	7	14	0	5	10	2	9
100033414	6	4	12	12	2	4	10	5	10	4	7	3	7	0	19	7	2	7
100033415	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
100033416	156	44	130	173	49	114	188	64	186	170	53	177	126	51	143	122	64	99
100033417	3	0	3	2	0	0	0	0	0	0	0	2	0	0	1	0	0	1
100033418	5	4	1	13	0	4	2	1	6	3	0	2	10	3	7	0	2	9
100033419	0	2	1	7	0	0	3	1	0	0	0	3	1	0	1	4	2	8
100033420	3	0	0	7	0	2	3	0	3	3	1	0	0	0	0	0	2	4
100033421	4	2	3	1	0	1	7	0	12	5	3	7	1	0	1	1	2	4
100033422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033424	2	0	0	1	1	2	0	0	1	0	0	0	0	3	0	2	0	1
100033425	1	0	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0
100033426	3	3	3	5	2	2	0	0	0	2	10	0	3	17	5	0	1	0
100033427	1	0	0	0	2	0	2	0	1	0	0	2	0	0	2	0	0	1
100033428	0	0	0	0	2	0	2	0	0	0	1	0	2	0	0	1	0	2
100033429	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	2	0
100033430	0	2	0	0	1	0	6	0	6	0	0	2	0	0	0	0	0	0
100033431	24	1	9	17	6	7	11	10	11	17	10	16	11	11	6	40	3	4
100033432	41	17	27	73	31	46	48	32	52	62	49	60	64	65	41	53	39	41
100033433	14	3	17	17	7	13	13	7	17	10	4	22	10	7	29	9	2	4
100033434	1	1	6	0	0	1	1	0	0	0	0	3	8	0	3	2	2	4
100033435	6	8	7	7	3	2	9	5	3	7	4	0	0	1	7	14	10	2
100033436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
100033437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033438	1	0	0	3	5	0	6	2	5	3	0	2	0	0	0	0	0	0
100033439	4	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0
100033440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033441	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033445	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
100033450	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	2
100033451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
