#KEY	SRR10197193_2	SRR10197194_2	SRR10197195_2	SRR10197196_2	SRR10197197_2	SRR10197198_2	SRR10197199_2	SRR10197200_2	SRR10197201_2	SRR10197202_2	SRR10197203_2	SRR10197204_2
FBgn0000003	0	0	0	0	2	0	0	0	0	0	0	0
FBgn0000008	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000014	9	14	20	21	2	33	31	33	0	25	3	1
FBgn0000015	7848	7069	5703	5086	6981	6721	12234	12153	5430	6550	5788	5718
FBgn0000017	378	328	238	226	211	264	701	311	182	164	70	177
FBgn0000018	1778	1260	1052	678	957	985	1573	1592	550	728	607	702
FBgn0000022	436	537	248	280	339	360	1184	785	213	432	251	176
FBgn0000024	1155	1285	1241	1006	1095	823	1429	1341	749	759	864	755
FBgn0000028	2202	2290	1650	1586	1327	1689	4930	2701	1089	1617	947	1135
FBgn0000032	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000036	52	80	104	78	75	100	92	81	92	122	105	72
FBgn0000037	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000038	2278	1867	1378	1398	2381	2056	2466	2791	1986	1648	1336	1395
FBgn0000039	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000042	62	49	79	81	142	37	116	108	103	37	102	30
FBgn0000043	5646	6227	4018	4839	7395	6493	6732	7140	5504	3596	3556	2981
FBgn0000044	0	0	0	0	1	0	0	0	0	0	0	0
FBgn0000045	35	1	8	24	12	65	69	23	26	2	22	7
FBgn0000046	1	1	0	0	0	0	1	0	0	1	0	0
FBgn0000047	586	354	407	345	800	376	634	570	542	353	351	303
FBgn0000052	8637	7873	6158	5432	5540	6353	14272	13091	4820	6123	3678	4321
FBgn0000053	4820	3353	3324	3224	3835	3461	5017	5583	3297	2232	2162	2325
FBgn0000055	536	409	378	312	518	654	407	657	477	302	335	304
FBgn0000056	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000057	2	1	1	0	12	10	0	0	0	0	0	0
FBgn0000061	0	12	6	8	15	16	1	10	11	5	69	29
FBgn0000063	0	0	0	14	5	0	0	11	0	0	22	0
FBgn0000064	1152	813	670	910	902	390	707	1142	768	397	506	1105
FBgn0000071	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000075	1005	408	447	361	78	109	639	394	24	220	415	237
FBgn0000077	1	0	0	1	0	0	25	5	10	20	0	1
FBgn0000078	22	8	20	10	10	0	38	58	8	13	7	3
FBgn0000079	4	8	8	15	7	3	2	3	10	1	1	0
FBgn0000083	182	252	167	115	166	69	581	231	107	116	54	98
FBgn0000084	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000092	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000094	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000097	5823	4270	3987	3242	3765	3114	9015	6336	3091	4063	2824	2480
FBgn0000100	0	0	0	0	0	0	1	1	0	0	0	1
FBgn0000108	74	279	65	92	115	134	475	201	136	173	79	89
FBgn0000109	227	122	261	127	433	346	528	517	416	353	377	221
FBgn0000114	24283	22850	20146	14522	13458	15347	45203	27467	10194	14652	9714	11221
FBgn0000115	1811	1639	1151	1210	870	943	2372	2079	867	1021	707	512
FBgn0000116	2448	2353	1410	1137	1338	1483	3119	2554	933	1178	956	832
FBgn0000117	188	79	144	87	430	139	137	257	57	80	60	214
FBgn0000119	6497	5218	4735	3907	4609	5071	11686	8740	4813	5235	4753	3867
FBgn0000120	23645	18944	16591	17456	31234	19913	25513	35175	29404	19349	18549	15612
FBgn0000121	4	14	2	10	9	1	14	14	5	5	26	10
FBgn0000137	28	5	10	3	3	0	15	5	0	2	2	3
FBgn0000139	2022	1580	1571	1250	1363	1334	2637	2250	1054	1145	707	952
FBgn0000140	32	1	0	0	1	0	15	1	0	1	0	7
FBgn0000146	3532	3994	3805	2790	2390	2817	8733	6467	2024	2957	1619	1901
FBgn0000147	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000150	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000152	944	976	927	667	903	660	2155	1997	876	716	624	709
FBgn0000153	1622	1452	1513	1393	4658	1713	2243	2962	2585	1865	2221	1553
FBgn0000157	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000158	0	17	1	2	8	0	20	8	14	0	0	1
FBgn0000163	1626	906	551	873	824	1274	2728	1676	681	1497	1050	1354
FBgn0000166	0	4	0	0	0	0	0	0	0	0	0	14
FBgn0000173	1	1	0	0	0	0	0	0	0	1	0	0
FBgn0000179	268	263	384	307	598	521	404	374	472	306	276	250
FBgn0000180	245	197	258	292	372	85	234	455	124	271	94	174
FBgn0000181	13	16	3	8	8	15	14	27	24	10	18	9
FBgn0000182	0	0	12	0	0	1	0	0	0	22	0	1
FBgn0000183	11283	9516	7837	6403	6777	7587	16006	11491	4063	5781	4278	5106
FBgn0000206	58	37	81	60	132	65	99	78	103	90	82	20
FBgn0000212	2385	1985	1617	1541	2472	2854	2363	4264	3164	2479	2571	1730
FBgn0000216	0	0	0	0	0	0	0	0	1	0	0	0
FBgn0000221	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0000227	0	2	0	152	316	28	283	791	0	107	0	300
FBgn0000228	5362	4514	3373	3971	3282	3754	9053	7807	2646	3212	2525	2687
FBgn0000229	2294	2351	2404	2241	3218	2714	3514	4742	2932	2254	1912	2044
FBgn0000233	0	0	0	0	0	1	0	0	0	0	0	0
FBgn0000239	15573	14996	12276	9696	13827	12544	25636	20146	11920	10537	8279	8306
FBgn0000241	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000244	3607	2578	3331	3145	5073	4483	5146	6391	5279	2604	3408	2007
FBgn0000246	0	1	13	0	0	10	0	0	0	2	8	0
FBgn0000247	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000250	5819	4860	3981	3522	4026	4001	9332	6662	3727	4707	3319	3188
FBgn0000251	3808	2978	1910	1466	1285	1766	4305	3674	1032	1806	1403	1064
FBgn0000253	1	11	37	3	5	1	27	62	6	4	16	0
FBgn0000256	3384	2992	2282	2156	2842	2564	4545	3980	2098	1991	1464	1509
FBgn0000257	659	432	361	397	660	608	920	744	487	316	328	263
FBgn0000259	6098	5276	3414	3530	2238	3670	8702	5842	2104	3009	2068	1865
FBgn0000261	2611	1734	1869	1154	2211	1761	3556	1824	1544	1121	966	1015
FBgn0000273	10415	9230	7215	6978	8947	9229	13878	12704	7416	7513	5598	5249
FBgn0000274	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000276	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000277	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000278	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000279	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000280	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000281	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000283	32	18	24	8	0	0	0	11	4	1	18	18
FBgn0000286	4777	3997	3492	2821	4917	4352	7248	6125	3427	2784	3092	2504
FBgn0000287	264	343	324	272	397	287	430	247	190	262	236	117
FBgn0000289	1442	793	728	709	761	1095	2225	1458	867	1059	554	684
FBgn0000299	16804	15212	17753	16089	26919	30630	27557	30271	24540	15312	16857	11951
FBgn0000303	26	9	43	27	17	0	8	10	8	73	0	34
FBgn0000307	6173	5843	4380	3506	3236	3345	11762	6525	2418	3332	2312	2503
FBgn0000308	12882	8806	10964	8219	14780	13027	17094	19161	12931	10532	9597	8338
FBgn0000316	0	11	0	0	0	0	0	0	8	0	0	0
FBgn0000317	5333	5415	3901	4089	4136	4483	10321	7697	3474	4299	2997	3262
FBgn0000318	1508	905	1314	1049	1168	2539	3367	3510	2716	2139	2087	2265
FBgn0000319	6180	5260	5343	3913	5562	4819	10121	7879	4593	4848	3948	3602
