#KEY	SRR10197193_2	SRR10197194_2	SRR10197195_2	SRR10197196_2	SRR10197197_2	SRR10197198_2	SRR10197199_2	SRR10197200_2	SRR10197201_2	SRR10197202_2	SRR10197203_2	SRR10197204_2
Assigned	20790482	17965794	16137576	14591411	19762522	19810245	30599994	29814202	18211517	16911929	15333197	13772730
Status	SRR10197193	SRR10197194	SRR10197195	SRR10197196	SRR10197197	SRR10197198	SRR10197199	SRR10197200	SRR10197201	SRR10197202	SRR10197203	SRR10197204
Unassigned_Ambiguity	1284189	1107494	1005828	872935	1260295	1302439	1868849	1801914	1181637	994833	964364	802712
Unassigned_Chimera	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Duplicate	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_FragmentLength	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_MappingQuality	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_MultiMapping	9130755	8490170	8270132	7073261	12538037	7172052	13388774	14163338	11405024	8306424	8725700	7431947
Unassigned_NoFeatures	22802798	19444910	18853985	16347378	22889519	21360369	32466497	32971501	20380433	18088292	17417422	14976017
Unassigned_NonSplit	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Overlapping_Length	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Read_Type	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Secondary	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Singleton	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Unmapped	2995372	2742168	3369734	2634981	3031796	2799511	5229972	5407689	3199648	2718161	2493951	2363955
