#KEY	SRR11185415_2	SRR11185416_2	SRR11185417_2	SRR11185421_2	SRR11185422_2	SRR11185423_2
ENSDARG00000000001	265	177	289	49	55	39
ENSDARG00000000002	62	76	83	28	0	20
ENSDARG00000000018	3395	3078	3965	1407	1092	1337
ENSDARG00000000019	2692	2480	3128	1538	1143	1348
ENSDARG00000000068	616	550	767	350	309	394
ENSDARG00000000069	235	182	245	66	51	50
ENSDARG00000000086	593	622	573	184	274	198
ENSDARG00000000103	2054	2001	2809	1629	1679	1384
ENSDARG00000000142	241	190	260	42	35	32
ENSDARG00000000151	904	835	1119	51	30	47
ENSDARG00000000161	2	4	6	0	2	0
ENSDARG00000000175	10	16	19	15	8	19
ENSDARG00000000183	3192	3344	3856	262	224	239
ENSDARG00000000189	327	274	430	201	193	106
ENSDARG00000000212	33	43	57	18271	15292	17876
ENSDARG00000000229	257	303	366	717	821	638
ENSDARG00000000241	0	4	0	34	3	16
ENSDARG00000000324	0	0	0	1	0	0
ENSDARG00000000349	3	2	1	1	0	1
ENSDARG00000000369	0	0	0	11	6	3
ENSDARG00000000370	18	42	14	53	56	36
ENSDARG00000000380	4	3	10	48	54	33
ENSDARG00000000394	2993	3101	3334	6227	6409	5716
ENSDARG00000000423	287	264	323	47	44	17
ENSDARG00000000442	2031	1924	2211	358	221	203
ENSDARG00000000460	0	0	0	0	0	0
ENSDARG00000000472	0	1	7	2	0	3
ENSDARG00000000474	0	0	0	1	0	1
ENSDARG00000000476	759	676	916	132	162	112
ENSDARG00000000489	25	32	42	20	21	29
ENSDARG00000000503	1	2	2	67	1	37
ENSDARG00000000516	0	0	0	22	25	37
ENSDARG00000000529	1915	1941	2117	272	357	193
ENSDARG00000000540	1728	1657	2066	1113	1127	1098
ENSDARG00000000542	917	856	1163	363	315	324
ENSDARG00000000551	135	121	160	44	47	43
ENSDARG00000000563	14	22	32	1912	1080	1657
ENSDARG00000000567	152	181	241	1804	1512	1730
ENSDARG00000000568	6925	6575	7652	951	857	769
ENSDARG00000000588	147	121	156	25	19	9
ENSDARG00000000606	0	1	0	0	0	0
ENSDARG00000000631	535	399	571	132	113	137
ENSDARG00000000638	0	0	0	10	0	2
ENSDARG00000000651	9	15	13	55	72	50
ENSDARG00000000656	5	4	8	0	0	2
ENSDARG00000000666	36	31	96	32	13	15
ENSDARG00000000690	67	31	58	91	79	81
ENSDARG00000000729	9361	10086	9354	3303	2991	2905
ENSDARG00000000730	450	345	493	170	112	87
ENSDARG00000000747	62	77	36	50	56	21
ENSDARG00000000760	889	942	1055	216	172	160
ENSDARG00000000767	15	11	31	17	19	17
ENSDARG00000000779	1227	1104	1413	390	366	309
ENSDARG00000000796	342	282	379	11	5	3
ENSDARG00000000804	21	28	22	40	5	37
ENSDARG00000000830	54	33	46	27	30	48
ENSDARG00000000837	441	381	461	20	14	14
ENSDARG00000000853	6362	5694	7184	1985	2460	1993
ENSDARG00000000857	324	206	312	299	351	259
ENSDARG00000000861	3667	2794	4030	2899	2419	2660
ENSDARG00000000887	7747	6269	8843	1874	1238	1500
ENSDARG00000000906	177	145	221	34	42	25
ENSDARG00000000935	180	176	186	20	27	17
ENSDARG00000000943	1	0	0	145	218	136
ENSDARG00000000966	4610	5215	4615	753	761	683
ENSDARG00000001014	511	463	468	351	300	251
ENSDARG00000001015	217	299	308	565	504	479
ENSDARG00000001057	1473	1497	1977	2629	3358	2451
ENSDARG00000001127	7	1	25	3	0	0
ENSDARG00000001129	950	922	1083	322	282	254
ENSDARG00000001154	9	6	3	8	0	5
ENSDARG00000001162	6114	6895	6939	3324	3412	2960
