"","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","Gene.Symbol","Platform.ORF","Probability","Standard.Error"
"1",-2.70175778142361,-2.95808045278234,-2.44543511006487,10.2399660204673,-23.9223036895387,2.54200163911169e-09,1.17948876054782e-05,12.0604635872946,"copA","gene:ECOLIN_02785",0.99999421631405,0.130776873142212
"9",1.4370935368094,1.19262313653777,1.68156393708102,7.88197271300501,13.3414293762574,3.82204642827005e-07,0.000161220867519755,7.25026250424345,"fimA","gene:ECOLIN_05555",0.999290515735788,0.124729796056952
"14",-2.36856559962765,-2.80752059079296,-1.92961060846234,4.84349394881848,-12.2464167584385,7.84812684668853e-07,0.00026010934691882,6.52940842193064,"rpmJ","gene:ECOLIN_01855",0.998542258890377,0.223956628145568
"21",1.1949382482109,0.951230396211823,1.43864610020998,5.74979983718515,11.1280623306557,1.74171442317402e-06,0.000367343405614883,5.75726624324635,"leuD","gene:ECOLIN_00360",0.99685021473882,0.124340740815856
"23",1.06809864328237,0.839915170424579,1.29628211614017,7.64974619275059,10.6235774099503,2.55458519623272e-06,0.000515359796109558,5.35517618149532,"hscA","gene:ECOLIN_13855",0.995298570639926,0.116420139213161
"25",1.37744781438459,1.07636877316806,1.67852685560112,8.27789259245618,10.3833678245153,3.08287321806971e-06,0.000572181269273738,5.16561756234536,"iscA","gene:ECOLIN_13865",0.994322877975463,0.153611755722718
"28",0.964040565454555,0.748034405583034,1.18004672532608,12.6232041684837,10.1291448475052,3.77701783010293e-06,0.000625905811845629,4.84578687351246,"groEL","gene:ECOLIN_23315",0.992199890933901,0.110207224424245
"31",-1.40096082147787,-1.72406255819287,-1.07785908476286,8.75958136750212,-9.84079776337842,4.78086227930073e-06,0.000736419580116803,4.61820739193603,"znuA","gene:ECOLIN_09975",0.990225999911729,0.164847824854594
"34",1.0454126862038,0.792889211188339,1.29793616121927,6.06943180788406,9.3957103063131,6.96000686656947e-06,0.000949836231202422,4.35860871300549,"motB","gene:ECOLIN_10435",0.987365494953661,0.128838507660952
"38",1.02372957541649,0.767041112338229,1.28041803849474,5.07482307204228,9.05154072035969,9.40214362409715e-06,0.00109960052708348,4.06468639485611,"fliS","gene:ECOLIN_10630",0.983121405478955,0.130963501570539
"42",1.37608155926263,1.02110991861679,1.73105319990846,6.70124465522073,8.79820599666135,1.18036808560691e-05,0.00117003316688702,3.85204947017503,"hscB","gene:ECOLIN_13860",0.979205428127143,0.181107979921345
"44",0.947502015603748,0.704481380227072,1.19052265098042,6.91388816355463,8.84872298624103,1.1275438029406e-05,0.00117003316688702,3.77079933117482,"fliD","gene:ECOLIN_10625",0.977484959030945,0.123990120090141
"49",1.01251452234667,0.744801671924859,1.28022737276847,6.870297796181,8.58372215906239,1.43710836111324e-05,0.00136085363174805,3.5338400653762,"flgK","gene:ECOLIN_06115",0.971635436460767,0.136588188990718
"50",0.908252119789514,0.665169981268816,1.15133425831021,6.89316254049909,8.48002203447473,1.58283343973605e-05,0.00144006807066182,3.45608194026146,"flgL","gene:ECOLIN_06120",0.969412000394904,0.124021499245254
"57",0.670109445374933,0.484994572316551,0.855224318433316,8.69186323287881,8.21576550148769,2.03335425895025e-05,0.00165645837314752,3.08850474056708,"pntB","gene:ECOLIN_08645",0.956416078627113,0.0944463638052972
"62",0.599905609400778,0.43416855102284,0.765642667778717,11.7315548601441,8.21498747085586,2.03487343253036e-05,0.00165645837314752,2.99165686279325,"aceE","gene:ECOLIN_00600",0.952195785371425,0.0845597236622134
"70",1.4309278214924,0.994341257605742,1.86751438537906,6.09399363254849,7.43859597400715,4.4142577611143e-05,0.00259267797614815,2.59970326968075,"tauA","gene:ECOLIN_02185",0.930842480156267,0.222748246880947
