"","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","Gene.Symbol","Platform.ORF","Probability","Standard.Error"
"5",-2.12321230170299,-2.34756471670124,-1.89885988670474,9.89451696673216,-21.4786154242048,6.4742032487197e-09,6.00806061481188e-06,11.1724893420767,"cysJ","gene:ECOLIN_14900",0.999985944593017,0.11446551785625
"10",-1.41181963038459,-1.60545603792552,-1.21818322284366,7.75984267676046,-16.5476302579318,6.12460614476839e-08,2.84181725117253e-05,9.07878472489491,"znuC","gene:ECOLIN_09980",0.999885952870522,0.0987940854800658
"13",-1.50682614682087,-1.72661890397869,-1.28703338966305,7.69316446890833,-15.5594191251425,1.03663568141481e-07,3.69999197058824e-05,8.5617341284602,"hycE","gene:ECOLIN_14700",0.999808749294707,0.112139161815214
"15",-1.86300731295291,-2.14993549672928,-1.57607912917653,6.49241867127905,-14.7361814123409,1.64683597332169e-07,5.09421261080843e-05,8.06378387352235,"znuB","gene:ECOLIN_09985",0.999685365389045,0.14639193049815
"16",-1.7085590635922,-1.97639911642212,-1.44071901076228,10.4331350358024,-14.4776503458582,1.91399625591455e-07,5.55058914215219e-05,7.94367115123935,"cysN","gene:ECOLIN_14870",0.999645224722289,0.13665308817853
"21",-2.50896597253586,-2.9243439651155,-2.09358797995622,8.75958136750212,-13.7086565869039,3.03897923073802e-07,6.34897897510665e-05,7.49395838578625,"znuA","gene:ECOLIN_09975",0.999443873441848,0.211927547234509
"25",-1.38009141424063,-1.61365904571657,-1.14652378276468,6.22405736084918,-13.4103096593764,3.65957197693756e-07,6.53092845115011e-05,7.31149245508923,"hycD","gene:ECOLIN_14705",0.999332626068246,0.119167158916297
"26",1.54293671155098,1.27052875631057,1.81534466679139,9.66035611555414,12.8549956834253,5.22534320139075e-07,8.97984905720485e-05,6.85135307784008,"bssS","gene:ECOLIN_06005",0.998943095093558,0.138983650632862
"35",-1.20668768691412,-1.43576050763318,-0.977614866195055,7.36747928711131,-11.9554224467316,9.59501144378005e-07,0.000123669036386498,6.34310150175878,"deoD","gene:ECOLIN_24375",0.998244249354964,0.116873888121971
"36",1.13997827232496,0.923654987047753,1.35630155760216,7.67747844646088,11.9601578906495,9.56334878655504e-07,0.000123669036386498,6.30689318848063,"clpS","gene:ECOLIN_04570",0.998179629483075,0.110369023100614
"44",-1.20437876032516,-1.43968119440101,-0.969076326249321,9.6398935154397,-11.6166332178169,1.21923599668977e-06,0.000129895612102779,6.00563678476407,"hslU","gene:ECOLIN_21890",0.99754124110695,0.120052262283594
"50",-1.42443235872464,-1.71580759755966,-1.13305711988962,8.6288230509623,-11.0951402768954,1.78496065622219e-06,0.000163391025908463,5.7341373356909,"modA","gene:ECOLIN_03940",0.996776752184351,0.148660836140316
