Geneid	SRR11357516
gene:ECOLIN_00010	1492
gene:ECOLIN_00015	837
gene:ECOLIN_00020	794
gene:ECOLIN_00025	99
gene:ECOLIN_00030	281
gene:ECOLIN_00035	215
gene:ECOLIN_00040	5848
gene:ECOLIN_00045	397
gene:ECOLIN_00050	351
gene:ECOLIN_00055	21
gene:ECOLIN_00060	11
gene:ECOLIN_00065	324997
gene:ECOLIN_00070	16191
gene:ECOLIN_00075	3051
gene:ECOLIN_00080	10
gene:ECOLIN_00085	69
gene:ECOLIN_00090	91
gene:ECOLIN_00095	3364
gene:ECOLIN_00100	469
gene:ECOLIN_00105	401
gene:ECOLIN_00110	1490
gene:ECOLIN_00115	11630
gene:ECOLIN_00120	767
gene:ECOLIN_00125	394
gene:ECOLIN_00130	386
gene:ECOLIN_00135	54
gene:ECOLIN_00140	24
gene:ECOLIN_00145	1701
gene:ECOLIN_00155	156
gene:ECOLIN_00160	714
gene:ECOLIN_00165	244
gene:ECOLIN_00170	30
gene:ECOLIN_00175	6
gene:ECOLIN_00180	232
gene:ECOLIN_00185	130
gene:ECOLIN_00190	271
gene:ECOLIN_00195	6
gene:ECOLIN_00200	8
gene:ECOLIN_00205	28
gene:ECOLIN_00210	19
gene:ECOLIN_00215	0
gene:ECOLIN_00220	40
gene:ECOLIN_00225	190
gene:ECOLIN_00230	484
gene:ECOLIN_00235	369
gene:ECOLIN_00240	473
gene:ECOLIN_00245	244
gene:ECOLIN_00250	433
gene:ECOLIN_00255	496
gene:ECOLIN_00260	814
gene:ECOLIN_00265	250
gene:ECOLIN_00270	1786
gene:ECOLIN_00275	4487
gene:ECOLIN_00280	232
gene:ECOLIN_00285	352
gene:ECOLIN_00290	2151
gene:ECOLIN_00295	1949
gene:ECOLIN_00300	15
gene:ECOLIN_00305	83
gene:ECOLIN_00310	60
gene:ECOLIN_00315	105
gene:ECOLIN_00320	5
gene:ECOLIN_00325	30
gene:ECOLIN_00330	242
gene:ECOLIN_00335	67
gene:ECOLIN_00340	78
gene:ECOLIN_00345	352
gene:ECOLIN_00350	283
gene:ECOLIN_00355	2058
gene:ECOLIN_00360	120
gene:ECOLIN_00365	286
gene:ECOLIN_00370	190
gene:ECOLIN_00375	256
gene:ECOLIN_00380	157
gene:ECOLIN_00385	745
gene:ECOLIN_00390	253
gene:ECOLIN_00395	1001
gene:ECOLIN_00400	474
gene:ECOLIN_00405	1213
gene:ECOLIN_00410	263
gene:ECOLIN_00415	794
gene:ECOLIN_00420	391
gene:ECOLIN_00425	423
gene:ECOLIN_00430	230
gene:ECOLIN_00435	302
gene:ECOLIN_00440	347
gene:ECOLIN_00445	308
gene:ECOLIN_00450	687
gene:ECOLIN_00455	602
gene:ECOLIN_00460	742
gene:ECOLIN_00465	1005
gene:ECOLIN_00470	3088
gene:ECOLIN_00475	10683
gene:ECOLIN_00480	1351
gene:ECOLIN_00485	5856
gene:ECOLIN_00490	34
gene:ECOLIN_00495	66
gene:ECOLIN_00500	68
gene:ECOLIN_00505	308
gene:ECOLIN_00510	123
gene:ECOLIN_00515	371
gene:ECOLIN_00520	368
gene:ECOLIN_00525	580
gene:ECOLIN_00530	100
gene:ECOLIN_00535	26
gene:ECOLIN_00540	8
gene:ECOLIN_00545	491
gene:ECOLIN_00550	255
gene:ECOLIN_00555	182
gene:ECOLIN_00560	476
gene:ECOLIN_00565	149
gene:ECOLIN_00570	43
gene:ECOLIN_00580	9
gene:ECOLIN_00585	94
gene:ECOLIN_00590	300
gene:ECOLIN_00595	2898
gene:ECOLIN_00600	11872
gene:ECOLIN_00610	6976
gene:ECOLIN_00615	257
gene:ECOLIN_00620	5003
gene:ECOLIN_00625	399
gene:ECOLIN_00630	203
gene:ECOLIN_00635	273
gene:ECOLIN_00640	259
gene:ECOLIN_00645	250
gene:ECOLIN_00650	1659
gene:ECOLIN_00655	150
gene:ECOLIN_00660	2175
gene:ECOLIN_00665	161
gene:ECOLIN_00670	233
gene:ECOLIN_00675	110
gene:ECOLIN_00680	262
gene:ECOLIN_00685	447
gene:ECOLIN_00690	64
gene:ECOLIN_00695	124
gene:ECOLIN_00705	1537
gene:ECOLIN_00710	861
gene:ECOLIN_00715	28
gene:ECOLIN_00720	22
gene:ECOLIN_00725	16
gene:ECOLIN_00730	179
gene:ECOLIN_00735	18
gene:ECOLIN_00740	5
gene:ECOLIN_00745	38
gene:ECOLIN_00750	899
gene:ECOLIN_00755	171
gene:ECOLIN_00760	31
gene:ECOLIN_00765	32
gene:ECOLIN_00770	0
gene:ECOLIN_00775	34
gene:ECOLIN_00780	21
gene:ECOLIN_00785	2
gene:ECOLIN_00790	390
gene:ECOLIN_00795	1979
gene:ECOLIN_00805	3273
gene:ECOLIN_00810	118
gene:ECOLIN_00815	35
gene:ECOLIN_00820	85
gene:ECOLIN_00825	1428
gene:ECOLIN_00830	1054
gene:ECOLIN_00835	2036
gene:ECOLIN_00840	96
gene:ECOLIN_00845	64
gene:ECOLIN_00850	443
gene:ECOLIN_00855	321
gene:ECOLIN_00860	367
gene:ECOLIN_00865	155
gene:ECOLIN_00870	839
gene:ECOLIN_00875	1519
gene:ECOLIN_00880	2622
gene:ECOLIN_00885	1544
gene:ECOLIN_00890	4896
gene:ECOLIN_00895	2080
gene:ECOLIN_00900	634
gene:ECOLIN_00905	3268
gene:ECOLIN_00915	348
gene:ECOLIN_00920	384
gene:ECOLIN_00925	887
gene:ECOLIN_00930	3295
gene:ECOLIN_00935	3978
gene:ECOLIN_00940	4170
gene:ECOLIN_00945	813
gene:ECOLIN_00950	663
gene:ECOLIN_00955	325
gene:ECOLIN_00960	110
gene:ECOLIN_00965	1058
gene:ECOLIN_00970	808
gene:ECOLIN_00975	1408
gene:ECOLIN_00980	213
gene:ECOLIN_00985	515
gene:ECOLIN_00990	976
gene:ECOLIN_00995	779
gene:ECOLIN_01000	199
gene:ECOLIN_01005	316
gene:ECOLIN_01010	434
gene:ECOLIN_01015	242
gene:ECOLIN_01020	49
gene:ECOLIN_01025	75
gene:ECOLIN_01030	77
gene:ECOLIN_01035	923
gene:ECOLIN_01040	177
gene:ECOLIN_01045	457
gene:ECOLIN_01050	1951
gene:ECOLIN_01055	834
gene:ECOLIN_01060	378
gene:ECOLIN_01065	0
gene:ECOLIN_01070	4
gene:ECOLIN_01075	0
