#KEY	SRR11357510	SRR11357511	SRR11357512	SRR11357513	SRR11357514	SRR11357515	SRR11357516	SRR11357517
Geneid	SRR11357510	SRR11357511	SRR11357512	SRR11357513	SRR11357514	SRR11357515	SRR11357516	SRR11357517
gene:ECOLIN_00010	5733	5607	1089	1047	5269	5815	1492	1399
gene:ECOLIN_00015	1963	2027	532	445	1660	1965	837	725
gene:ECOLIN_00020	2477	2750	537	404	2655	2440	794	796
gene:ECOLIN_00025	122	145	117	147	129	123	99	108
gene:ECOLIN_00030	738	730	281	267	644	727	281	223
gene:ECOLIN_00035	153	187	259	257	210	242	215	148
gene:ECOLIN_00040	8947	9442	8651	7998	8875	8498	5848	5495
gene:ECOLIN_00045	336	431	697	595	402	322	397	373
gene:ECOLIN_00050	212	189	394	313	189	169	351	222
gene:ECOLIN_00055	20	23	61	40	13	24	21	49
gene:ECOLIN_00060	20	38	29	34	10	11	11	18
gene:ECOLIN_00065	15443	13407	654953	634455	8472	7272	324997	289773
gene:ECOLIN_00070	3595	2394	32081	31331	1438	1294	16191	15007
gene:ECOLIN_00075	947	660	7772	5568	531	548	3051	2742
gene:ECOLIN_00080	6	5	65	78	4	8	10	17
gene:ECOLIN_00085	97	74	120	112	31	43	69	52
gene:ECOLIN_00090	117	100	178	216	77	96	91	89
gene:ECOLIN_00095	570	598	2605	2275	597	737	3364	3131
gene:ECOLIN_00100	440	276	414	378	244	293	469	490
gene:ECOLIN_00105	9351	5251	171	135	4427	5933	401	363
gene:ECOLIN_00110	3226	2913	1922	1583	2918	3009	1490	1225
gene:ECOLIN_00115	14613	12723	14914	14662	11830	11564	11630	10440
gene:ECOLIN_00120	1125	1228	963	941	1103	1019	767	716
gene:ECOLIN_00125	1061	950	748	753	788	846	394	412
gene:ECOLIN_00130	1353	1209	653	654	1077	951	386	387
gene:ECOLIN_00135	113	123	43	54	130	150	54	46
gene:ECOLIN_00140	21	43	20	16	28	52	24	22
gene:ECOLIN_00145	2309	1891	1066	1034	1145	1251	1701	1524
