#KEY	SRR11728040_2	SRR11728041_2	SRR11728042_2	SRR11728043_2
1	110	88	63	107
10	0	0	0	0
100	13754	9164	3673	4743
1000	0	0	0	0
10000	1806	1690	2545	2808
100008586	0	0	0	0
100008587	0	0	0	0
100008588	0	0	0	0
100008589	0	0	0	0
100009613	0	2	0	0
100009676	147	87	123	191
10001	1630	1236	1674	2410
10002	5	4	0	10
10003	10	10	11	7
100033413	0	4	0	0
100033414	0	1	2	0
100033415	0	1	0	0
100033416	2	5	1	5
100033417	0	0	1	0
100033418	0	0	0	0
100033419	0	0	0	0
100033420	0	0	0	0
100033421	0	0	0	0
100033422	0	0	0	0
100033423	0	0	0	0
100033424	0	0	0	0
100033425	1	1	2	0
100033426	0	0	2	3
100033427	0	0	0	0
100033428	0	0	0	0
100033429	0	0	0	4
100033430	0	0	0	0
100033431	0	0	0	0
100033432	1	6	8	0
100033433	0	3	5	13
100033434	0	0	2	1
100033435	0	0	0	0
100033436	0	0	0	0
100033437	0	0	0	0
100033438	0	1	0	1
100033439	0	0	0	0
100033440	0	0	0	0
100033441	0	0	0	0
100033442	0	0	0	0
100033443	0	0	0	0
100033444	0	0	0	0
100033445	0	0	0	0
100033446	0	0	0	0
100033447	0	0	0	0
100033448	0	0	0	0
100033449	0	0	0	0
100033450	0	0	0	0
100033451	0	0	0	0
100033453	0	0	0	0
100033454	0	0	0	0
100033455	0	0	0	0
100033456	0	0	0	0
100033458	0	0	0	0
100033460	0	0	0	0
100033603	0	0	0	0
100033799	0	0	0	0
100033800	0	0	0	0
100033801	0	0	0	0
100033802	0	0	0	0
100033803	0	0	0	0
100033804	0	0	0	0
100033805	0	0	0	0
100033806	0	0	0	0
100033807	0	0	0	0
100033808	0	0	0	0
100033809	0	0	0	0
100033810	0	0	0	0
100033811	0	0	0	0
100033812	0	0	0	0
100033813	0	0	0	0
100033814	0	0	0	0
100033815	0	0	0	0
100033816	0	0	0	0
100033817	0	0	0	0
100033818	0	0	0	0
100033819	0	0	0	0
100033820	0	0	0	0
100033821	0	0	0	0
100033822	0	0	0	0
100036519	4	0	0	0
100036563	0	0	0	0
100036564	0	0	0	0
100036565	0	0	0	0
100036566	0	0	0	0
100036567	0	0	0	0
100037417	109	93	69	118
100038246	0	0	0	0
10004	0	2	0	2
100048912	1088	1129	2631	2908
100049076	59	56	17	44
100049587	1517	1366	1433	1901
100049615	0	0	0	0
100049716	342	350	480	802
10005	1060	689	556	736
10006	5762	4542	5932	7707
10007	1668	1087	1156	1533
100073347	0	0	0	0
10008	1703	1242	1050	1430
10009	2674	2226	1498	1889
100093630	3125	2301	2291	3734
100093631	537	719	316	559
1001	9	10	2	2
10010	7130	5294	11072	14342
100101115	0	0	0	0
100101116	0	0	0	0
100101117	0	0	0	0
100101118	0	0	0	0
100101120	0	0	0	0
100101121	0	0	0	0
100101266	0	0	2	0
100101267	4856	4132	3441	4568
100101467	219	226	177	222
100101490	256	250	413	420
100101938	0	0	0	0
10011	3198	2494	3122	4830
100113378	8	8	3	17
100113379	0	0	0	3
100113380	17	11	12	7
100113381	8	11	11	17
100113382	0	0	0	1
100113384	0	0	0	0
100113385	11	9	8	7
100113386	54	56	145	164
100113389	1	7	0	0
100113390	2	14	7	6
100113391	0	0	1	0
100113392	1	1	2	1
100113393	11	27	31	25
100113402	0	0	0	0
100113407	822	696	198	242
100124412	0	0	0	0
100124516	83	103	107	141
100124533	4	4	2	3
100124534	4	5	13	10
100124535	0	4	2	0
100124536	0	0	2	1
100124537	0	0	0	0
100124538	0	0	0	0
100124539	0	0	2	0
100124540	0	0	0	0
100124541	0	0	0	0
100124542	0	0	0	0
100124692	45	82	710	655
100124700	24	12	16	43
100125288	187	144	136	106
100125556	4	10	2	1
100126270	2	11	2	3
100126296	0	0	0	0
100126297	0	0	0	0
100126299	0	0	0	0
100126300	0	0	0	0
100126301	0	0	0	0
100126302	0	0	0	0
100126303	0	0	0	0
100126304	0	0	0	0
100126306	0	0	0	0
100126307	0	0	0	0
100126308	0	0	0	0
100126309	0	0	0	0
100126310	0	0	0	0
100126311	0	0	0	0
100126313	0	0	0	0
100126314	0	0	0	0
100126315	0	0	0	0
100126316	0	0	0	0
100126317	8	5	8	1
100126318	0	0	0	0
100126319	0	0	0	0
100126320	0	0	0	0
100126321	0	0	0	0
100126323	0	0	0	0
100126324	0	0	0	0
100126325	0	0	0	0
100126326	0	0	0	0
100126327	0	0	0	0
100126328	7	0	2	2
100126329	4	7	26	15
100126331	2	1	0	0
100126332	1	4	4	6
100126333	0	0	0	0
100126334	0	0	0	0
100126335	0	0	0	0
100126336	0	0	0	0
100126337	0	0	0	0
100126338	0	0	0	0
100126339	2	0	5	1
100126340	0	0	0	0
100126341	0	0	0	0
100126342	0	0	0	0
100126343	0	0	0	0
100126344	0	0	0	0
100126345	0	0	0	0
100126346	0	0	0	0
100126347	0	0	0	0
