"","accessions","treatment","description"
"1","GSM675864","C.elegans_8days_microG1-2",NA
"2","GSM675865","C.elegans_8days_microG2-2",NA
"3","GSM675866","C.elegans_8days_microG3-2",NA
"4","GSM675867","C.elegans_8days_GC1-2",NA
"5","GSM675868","C.elegans_8days_GC2-2",NA
"6","GSM675869","C.elegans_8days_GC3-2",NA
"7","GSM675873","C.elegans_8days_microG1-1",NA
"8","GSM675874","C.elegans_8days_microG2-1",NA
"9","GSM675875","C.elegans_8days_microG3-1",NA
"10","GSM675876","C.elegans_8days_GC1-1",NA
"11","GSM675877","C.elegans_8days_GC2-1",NA
"12","GSM675878","C.elegans_8days_GC3-1",NA
