"adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","Platform_ORF","GO.Function","GO.Process","GO.Component","Chromosome.annotation"
0.216873590452381,0.000138495653397141,-9.93294547776032,0.58720160766627,-3.0887433936996,"rhaB","rhamnulokinase","c4853","ATP binding///rhamnulokinase activity","rhamnose catabolic process///rhamnose catabolic process///rhamnose catabolic process","cytosol","NC_004431.1 (4615636..4617105, complement)"
0.258286732932517,0.000227721453408371,-8.98698102496232,0.357714396976644,-2.811911384348,"ybiB///ECs0878","glycosyl transferase///glycosyl transferase family protein","Z1021","DNA binding///RNA binding","tryptophan biosynthetic process","cytosol///cytosol","NC_002655.2 (961341..962303)///NC_002695.1 (959688..960650)"
0.262602740462022,0.000261172194473604,-8.74093928185316,0.289843732291453,-6.09896707810152,"gnsB","Qin prophage; multicopy suppressor of secG(Cs) and fabA6(Ts)","b1550","","unsaturated fatty acid biosynthetic process","cytosol","NC_000913.3 (1637609..1637782, complement)"
0.262602740462022,0.00028297709101511,-8.59979106230681,0.249197865524514,-4.47958671543588,"ulaA","PTS system ascorbate-specific transporter subunit IIC","c5281","identical protein binding///protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity///protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity","phosphoenolpyruvate-dependent sugar phosphotransferase system///L-ascorbic acid transmembrane transport///L-ascorbic acid transmembrane transport","plasma membrane///integral component of plasma membrane///membrane","NC_004431.1 (5028048..5029445)"
0.265792201655168,0.000338489285023235,-8.29174902218082,0.155887768622732,-3.15557257938039,"codA","cytosine deaminase","c0456","cytosine deaminase activity///cytosine deaminase activity///ferrous iron binding///zinc ion binding///isoguanine deaminase activity///isoguanine deaminase activity///identical protein binding///identical protein binding","cytosine catabolic process///cytosine catabolic process","cytosol///cytosol","NC_004431.1 (445523..446821)"
0.268165812656872,0.000367782266574864,-8.15234178143418,0.111472476026318,-3.3989795398813,"kdpB","potassium-transporting ATPase subunit B","c0782","protein binding///potassium transmembrane transporter activity, phosphorylative mechanism///potassium transmembrane transporter activity, phosphorylative mechanism///potassium transmembrane transporter activity, phosphorylative mechanism","potassium ion transport///potassium ion transmembrane transport///potassium ion transmembrane transport///cation transmembrane transport","plasma membrane///integral component of plasma membrane///integral component of plasma membrane///integral component of membrane///potassium ion-transporting ATPase complex","NC_004431.1 (765723..767771, complement)"
0.370533812674947,0.000762265876388507,-7.01268564641574,-0.310647697827415,-4.11220835532068,"srlR","DNA-binding transcriptional repressor SrlR","c3261","protein binding","negative regulation of transcription, DNA-templated","","NC_004431.1 (3111517..3112290)"
0.569587740829638,0.00200453008273349,-5.70752005112564,-0.957541456291897,-1.78980594789392,"leuA","2-isopropylmalate synthase","c0091","2-isopropylmalate synthase activity///2-isopropylmalate synthase activity///acetyl-CoA C-acetyltransferase activity","leucine biosynthetic process///leucine biosynthetic process///leucine biosynthetic process","cytosol///cytosol","NC_004431.1 (85789..87402, complement)"
0.606633447498124,0.00239047697186456,5.49194284276719,-1.08545691457802,2.92101440435664,"marB///ECs2139","hypothetical protein///hypothetical protein","Z2169","","","outer membrane-bounded periplasmic space","NC_002655.2 (1943852..1944070, complement)///NC_002695.1 (2144401..2144619)"
0.606633447498124,0.00287012055785878,5.27458171739907,-1.22139409634582,1.78885129555957,"xylB","xylulokinase","c4384","xylulokinase activity","xylulose catabolic process///D-xylose catabolic process","","NC_004431.1 (4165550..4167004, complement)"
