,a22_systemic_id,gene_name,go_id,systemic_id,taxid
0,C3_06470W_A,AAF1,GO:0003674,orf19.7436,taxon:237561
1,C3_06470W_A,AAF1,GO:0005634,orf19.7436,taxon:237561
2,C3_06470W_A,AAF1,GO:0005634,orf19.7436,taxon:237561
3,C3_06470W_A,AAF1,GO:0030447,orf19.7436,taxon:237561
4,C3_06470W_A,AAF1,GO:0098609,orf19.7436,taxon:237561
5,C3_06470W_A,AAF1,GO:0098609,orf19.7436,taxon:237561
6,C3_06470W_A,AAF1,GO:0044406,orf19.7436,taxon:237561
7,C3_06470W_A,AAF1,GO:0044406,orf19.7436,taxon:237561
8,C3_06470W_A,AAF1,GO:0007155,orf19.7436,taxon:237561
9,C3_06470W_A,AAF1,GO:0006355,orf19.7436,taxon:237561
10,C3_06470W_A,AAF1,GO:0098609,orf19.7436,taxon:237561
11,C3_06470W_A,AAF1,GO:0005737,orf19.7436,taxon:237561
12,C2_06970W_A,AAH1,GO:0009168,orf19.9791,taxon:237561
13,C2_06970W_A,AAH1,GO:0036164,orf19.9791,taxon:237561
14,C2_06970W_A,AAH1,GO:0000034,orf19.9791,taxon:237561
15,C2_06970W_A,AAH1,GO:0010389,orf19.9791,taxon:237561
16,C2_06970W_A,AAH1,GO:0043103,orf19.9791,taxon:237561
17,C2_06970W_A,AAH1,GO:0043101,orf19.9791,taxon:237561
18,C2_06970W_A,AAH1,GO:0006146,orf19.9791,taxon:237561
19,C2_06970W_A,AAH1,GO:0005575,orf19.9791,taxon:237561
20,C3_03990C_A,AAP1,GO:0055085,orf19.10328,taxon:237561
21,C3_03990C_A,AAP1,GO:0016020,orf19.10328,taxon:237561
22,C3_03990C_A,AAP1,GO:0003674,orf19.10328,taxon:237561
23,C2_05250C_A,AAT1,GO:0009058,orf19.11037,taxon:237561
24,C2_05250C_A,AAT1,GO:0030170,orf19.11037,taxon:237561
25,C2_05250C_A,AAT1,GO:0008483,orf19.11037,taxon:237561
26,C2_05250C_A,AAT1,GO:0006520,orf19.11037,taxon:237561
27,C2_05250C_A,AAT1,GO:0003824,orf19.11037,taxon:237561
28,C2_05250C_A,AAT1,GO:0005739,orf19.11037,taxon:237561
29,C2_05250C_A,AAT1,GO:0001302,orf19.11037,taxon:237561
30,CR_07620W_A,AAT21,GO:0030170,orf19.13666,taxon:237561
31,CR_07620W_A,AAT21,GO:0004069,orf19.13666,taxon:237561
32,CR_07620W_A,AAT21,GO:0005829,orf19.13666,taxon:237561
33,CR_07620W_A,AAT21,GO:0005576,orf19.13666,taxon:237561
34,CR_07620W_A,AAT21,GO:0005777,orf19.13666,taxon:237561
35,CR_07620W_A,AAT21,GO:0006532,orf19.13666,taxon:237561
36,C4_01200C_A,AAT22,GO:0009058,orf19.12139,taxon:237561
37,C4_01200C_A,AAT22,GO:0030170,orf19.12139,taxon:237561
38,C4_01200C_A,AAT22,GO:0003824,orf19.12139,taxon:237561
39,C4_01200C_A,AAT22,GO:0008483,orf19.12139,taxon:237561
40,C4_01200C_A,AAT22,GO:0006520,orf19.12139,taxon:237561
41,C4_01200C_A,AAT22,GO:0005575,orf19.12139,taxon:237561
42,C1_01450W_A,ABC1,GO:0008289,orf19.10842,taxon:237561
43,C1_01450W_A,ABC1,GO:0004672,orf19.10842,taxon:237561
44,C1_01450W_A,ABC1,GO:0016887,orf19.10842,taxon:237561
45,C1_01450W_A,ABC1,GO:0005759,orf19.10842,taxon:237561
46,C1_01450W_A,ABC1,GO:0031314,orf19.10842,taxon:237561
47,C1_01450W_A,ABC1,GO:0005739,orf19.10842,taxon:237561
