#KEY	SRR5045034_2	SRR5045035_2	SRR5045036_2	SRR5045037_2	SRR5045038_2	SRR5045039_2
Geneid	SRR5045034	SRR5045035	SRR5045036	SRR5045037	SRR5045038	SRR5045039
gene:EBG00001212947	0	0	0	0	1	0
gene:EBG00001212948	0	0	0	0	0	0
gene:EBG00001212949	0	0	0	0	0	0
gene:EBG00001212950	0	0	0	0	0	0
gene:EBG00001212951	0	0	0	0	0	0
gene:EBG00001212952	0	0	0	0	0	0
gene:EBG00001212953	0	0	0	0	0	0
gene:EBG00001212954	0	0	0	0	0	0
gene:EBG00001212955	0	0	0	0	0	0
gene:EBG00001212956	0	0	0	0	0	0
gene:EBG00001212957	0	0	0	0	0	0
gene:EBG00001212958	298094	340199	301862	898434	1297718	975121
gene:EBG00001212959	0	0	0	0	0	0
gene:EBG00001212960	0	0	0	0	0	0
gene:EBG00001212961	0	0	0	0	0	0
gene:EBG00001212962	608	593	433	780	1053	1203
gene:EBG00001212963	0	0	0	0	0	0
gene:EBG00001212964	0	0	0	0	0	0
gene:EBG00001212965	0	0	0	0	0	0
gene:EBG00001212966	0	0	0	0	0	0
gene:EBG00001212967	0	0	0	0	0	0
gene:EBG00001212968	0	0	0	0	0	0
gene:EBG00001212969	0	0	0	0	0	0
gene:EBG00001212970	0	0	0	0	0	0
gene:EBG00001212971	0	0	0	0	0	0
gene:EBG00001212972	0	0	0	0	0	0
gene:EBG00001212973	0	0	0	0	0	0
gene:EBG00001212974	0	0	0	0	0	0
gene:EBG00001212975	0	0	0	0	0	0
gene:EBG00001212976	807134	843170	753327	1324752	2400614	2954840
gene:EBG00001212977	0	0	0	0	0	0
gene:EBG00001212978	0	0	0	0	0	0
gene:EBG00001212979	0	0	0	0	0	0
gene:EBG00001212980	0	0	0	0	0	0
gene:EBG00001212981	0	0	0	0	0	0
gene:EBG00001212982	0	0	0	0	0	0
gene:EBG00001212983	0	0	0	0	0	0
gene:EBG00001212984	0	0	0	0	0	0
gene:EBG00001212985	0	0	0	0	0	0
gene:EBG00001212986	0	0	0	0	0	0
gene:EBG00001212987	0	0	0	0	0	0
gene:EBG00001212988	0	0	0	0	0	0
gene:EBG00001212989	0	0	0	0	0	0
gene:EBG00001212990	0	0	0	0	0	0
gene:EBG00001212991	0	0	0	0	0	0
gene:EBG00001212992	0	0	0	0	0	0
gene:EBG00001212993	0	0	0	0	0	0
