"","accessions","treatment","description"
"1","GSM2474364","BF LD1","Gene expression data from longissimus dorsi muscle of mouse flown 30 days aboard on Bion M1"
"2","GSM2474365","BF LD2","Gene expression data from longissimus dorsi muscle of mouse flown 30 days aboard on Bion M1"
"3","GSM2474366","BF LD3","Gene expression data from longissimus dorsi muscle of mouse flown 30 days aboard on Bion M1"
"4","GSM2474367","BF LD4","Gene expression data from longissimus dorsi muscle of mouse flown 30 days aboard on Bion M1"
"5","GSM2474368","BF LD5","Gene expression data from longissimus dorsi muscle of mouse flown 30 days aboard on Bion M1"
"6","GSM2474369","BG LD1","Gene expression data from longissimus dorsi of mouse  haused for 30 days in a replicate habitat of  Bion M1 biosatellite"
"7","GSM2474370","BG LD2","Gene expression data from longissimus dorsi of mouse  haused for 30 days in a replicate habitat of  Bion M1 biosatellite"
"8","GSM2474371","BG LD3","Gene expression data from longissimus dorsi of mouse  haused for 30 days in a replicate habitat of  Bion M1 biosatellite"
"9","GSM2474372","BG LD4","Gene expression data from longissimus dorsi of mouse  haused for 30 days in a replicate habitat of  Bion M1 biosatellite"
"10","GSM2474373","BG LD5","Gene expression data from longissimus dorsi of mouse  haused for 30 days in a replicate habitat of  Bion M1 biosatellite"
