"","Platform_ORF","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","GO.Function","GO.Function.ID","GO.Component","GO.Component.ID","GO.Process","GO.Process.ID","Gene.symbol","Chromosome.Location","Standard.Error","Probability"
"1","orf19.12096",1.149961711875,0.854720198506116,1.44520322524388,-0.313211711875,8.8602631521808,1.22767536272177e-05,0.0352781284587834,3.44282873866545,"molecular_function","GO:0003674","cytosol///extrinsic component of membrane","GO:0005829///GO:0019898","regulation of signal transduction///TOR signaling///positive regulation of transcription by RNA polymerase I","GO:0009966///GO:0031929///GO:0045943","TAP42","Contig20212:120724..121905",0.150633425188206,0.969016557158038
"2","orf19.8150",-1.719538410625,-2.10457354257636,-1.33450327867364,-0.062961589375,-10.1590286803777,4.11646775065299e-06,0.0352781284587834,4.25295382638972,"RNA polymerase I cis-regulatory region sequence-specific DNA binding///RNA polymerase I general transcription initiation factor activity","GO:0001165///GO:0001181","nucleolus///RNA polymerase I upstream activating factor complex","GO:0005730///GO:0000500","nucleolar large rRNA transcription by RNA polymerase I","GO:0042790","RRN10","Contig20053:complement(99444..98857)",0.196446495893554,0.985977271510745
"3","orf19.8150",-1.508225064,-1.99034676283777,-1.02610336516223,-0.366274936,-7.11623265603167,6.67363779427257e-05,0.0813754232746531,2.07013072509269,"RNA polymerase I cis-regulatory region sequence-specific DNA binding///RNA polymerase I general transcription initiation factor activity","GO:0001165///GO:0001181","nucleolus///RNA polymerase I upstream activating factor complex","GO:0005730///GO:0000500","nucleolar large rRNA transcription by RNA polymerase I","GO:0042790","RRN10","Contig20053:complement(99444..98857)",0.245980458590699,0.887965966949661
"4","orf19.13619",1.010181787,0.68597238784485,1.33439118615515,-0.142431787,7.08785126745377,6.87736612313747e-05,0.0813754232746531,2.04460869325605,"ATP binding///protein tyrosine kinase activity///RNA polymerase II CTD heptapeptide repeat kinase activity///cyclin-dependent protein serine/threonine kinase activity///cyclin-dependent protein kinase activating kinase activity///cyclin-dependent protein kinase activity","GO:0005524///GO:0004713///GO:0008353///GO:0004693///GO:0019912///GO:0097472","transcription factor TFIIH holo complex///nucleus///transcription factor TFIIK complex///cytosol///cyclin-dependent protein kinase activating kinase holoenzyme complex///nuclear chromatin","GO:0005675///GO:0005634///GO:0070985///GO:0005829///GO:0019907///GO:0000790","negative regulation of filamentous growth of a population of unicellular organisms///7-methylguanosine mRNA capping///transcription by RNA polymerase I///phosphorylation of RNA polymerase II C-terminal domain///phosphorylation of RNA polymerase II C-terminal domain involved in recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex///positive regulation of autophagy///transcription by RNA polymerase II///phosphorylation of RNA polymerase II C-terminal domain serine 5 residues///phosphorylation of RNA polymerase II C-terminal domain serine 5 residues involved in positive regulation of transcription elongation from RNA polymerase II promoter///P-TEFb-cap methyltransferase complex localization///positive regulation of transcription by RNA polymerase II///phosphorylation of RNA polymerase II C-terminal domain serine 2 residues involved in positive regulation of transcription elongation from RNA polymerase II promoter///phosphorylation of RNA polymerase II C-terminal domain serine 5 residues involved in recruitment of mRNA capping enzyme to RNA polymerase II holoenzyme complex///positive regulation of Atg1/ULK1 kinase complex assembly","GO:1900429///GO:0006370///GO:0006360///GO:0070816///GO:1901921///GO:0010508///GO:0006366///GO:0071620///GO:1903654///GO:0070817///GO:0045944///GO:1903655///GO:1900018///GO:1905866","KIN28","Contig20241:complement(84623..83592)",0.165412958752628,0.885401722615487
"5","orf19.13619",0.832390648125,0.554665592151861,1.11011570409814,-0.135890648125,6.81793398997412,9.19545433234636e-05,0.0883996035054117,1.79623205057301,"ATP binding///protein tyrosine kinase activity///RNA polymerase II CTD heptapeptide repeat kinase activity///cyclin-dependent protein serine/threonine kinase activity///cyclin-dependent protein kinase activating kinase activity///cyclin-dependent protein kinase activity","GO:0005524///GO:0004713///GO:0008353///GO:0004693///GO:0019912///GO:0097472","transcription factor TFIIH holo complex///nucleus///transcription factor TFIIK complex///cytosol///cyclin-dependent protein kinase activating kinase holoenzyme complex///nuclear chromatin","GO:0005675///GO:0005634///GO:0070985///GO:0005829///GO:0019907///GO:0000790","negative regulation of filamentous growth of a population of unicellular organisms///7-methylguanosine mRNA capping///transcription by RNA polymerase I///phosphorylation of RNA polymerase II C-terminal domain///phosphorylation of RNA polymerase II C-terminal domain involved in recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex///positive regulation of autophagy///transcription by RNA polymerase II///phosphorylation of RNA polymerase II C-terminal domain serine 5 residues///phosphorylation of RNA polymerase II C-terminal domain serine 5 residues involved in positive regulation of transcription elongation from RNA polymerase II promoter///P-TEFb-cap methyltransferase complex localization///positive regulation of transcription by RNA polymerase II///phosphorylation of RNA polymerase II C-terminal domain serine 2 residues involved in positive regulation of transcription elongation from RNA polymerase II promoter///phosphorylation of RNA polymerase II C-terminal domain serine 5 residues involved in recruitment of mRNA capping enzyme to RNA polymerase II holoenzyme complex///positive regulation of Atg1/ULK1 kinase complex assembly","GO:1900429///GO:0006370///GO:0006360///GO:0070816///GO:1901921///GO:0010508///GO:0006366///GO:0071620///GO:1903654///GO:0070817///GO:0045944///GO:1903655///GO:1900018///GO:1905866","KIN28","Contig20241:complement(84623..83592)",0.141696457129152,0.857689645840005
"6","orf19.12096",0.82928687525,0.549097335997042,1.10947641450296,-0.23153687525,6.73276626617125,0.0001009544457724,0.0923044853050834,1.71569785358925,"molecular_function","GO:0003674","cytosol///extrinsic component of membrane","GO:0005829///GO:0019898","regulation of signal transduction///TOR signaling///positive regulation of transcription by RNA polymerase I","GO:0009966///GO:0031929///GO:0045943","TAP42","Contig20212:120724..121905",0.142953846557631,0.847573862395683
"7","orf19.14021",0.70075366,0.429281972921414,0.972225347078586,-0.57100366,5.87193846413854,0.00027253598274482,0.120089841066618,0.840115443368557,"protein binding","GO:0005515","SCF ubiquitin ligase complex///SCF ubiquitin ligase complex","GO:0019005///GO:0019005","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process///SCF-dependent proteasomal ubiquitin-dependent protein catabolic process","GO:0031146///GO:0031146","TIP120","Contig20254:complement(32164..28577)",0.138505962795197,0.698489529153178
"8","orf19.13712",-1.17003754775,-1.60138784620722,-0.738687249292783,-0.71446245225,-6.17035795271032,0.000191139856521764,0.120089841066618,1.15669790369995,"unfolded protein binding","GO:0051082","nucleolus","GO:0005730","ribosome biogenesis","GO:0042254","RSA2","Contig20246:complement(28086..26533)",0.220076682886335,0.760732189058632
"9","orf19.8440",-0.787209079125,-1.08024274487816,-0.494175413371844,0.019459079125,-6.11101344377666,0.000204924537356549,0.120089841066618,1.09487221086362,"protein serine/threonine phosphatase inhibitor activity///protein phosphatase regulator activity///protein phosphatase activator activity","GO:0004865///GO:0019888///GO:0072542","nucleus///PTW/PP1 phosphatase complex///protein phosphatase type 1 complex///cytoplasm","GO:0005634///GO:0072357///GO:0000164///GO:0005737","positive regulation of mitotic metaphase/anaphase transition///positive regulation of mitotic sister chromatid separation///chromosome segregation///maintenance of protein location in nucleus///regulation of phosphoprotein phosphatase activity///DNA damage checkpoint","GO:0045842///GO:1901970///GO:0007059///GO:0051457///GO:0043666///GO:0000077","SDS2","Contig20076:67315..68439",0.149506972323039,0.749298079920947
"10","orf19.9497",-0.754828818875,-1.03892554038131,-0.470732097368693,-0.132171181125,-6.04397854157577,0.000221814913945861,0.120089841066618,1.02436374816164,"xenobiotic transmembrane transporter activity","GO:0042910","integral component of membrane///membrane","GO:0016021///GO:0016020","xenobiotic detoxification by transmembrane export across the plasma membrane","GO:1990961","AZR2","Contig20137:complement(27499..25616)",0.144947306890973,0.735821732693109
