ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSDARG00000000001	368418	slc35a5	solute carrier family 35 member A5
ENSDARG00000000002	368419	ccdc80	coiled-coil domain containing 80
ENSDARG00000000018	64604	nrf1	nuclear respiratory factor 1
ENSDARG00000000019	368425	ube2h	ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)
ENSDARG00000000068	327272	slc9a3r1a	SLC9A3 regulator 1a
ENSDARG00000000069	58093	dap	death-associated protein
ENSDARG00000000086	368504	itsn1	intersectin 1 (SH3 domain protein)
ENSDARG00000000103	555454	myh10	myosin, heavy chain 10, non-muscle
ENSDARG00000000142	368645	tmem267	transmembrane protein 267
ENSDARG00000000151	30670	thraa	thyroid hormone receptor alpha a
ENSDARG00000000161	566412	itsn2a	intersectin 2a
ENSDARG00000000175	30338	hoxb2a	homeobox B2a
ENSDARG00000000183	407634	ptpn4b	protein tyrosine phosphatase non-receptor type 4b
ENSDARG00000000189	556743	sema6e	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6E
ENSDARG00000000212	436656	krt97	keratin 97
ENSDARG00000000229	559473	usp49	ubiquitin specific peptidase 49
ENSDARG00000000241	58153	slc40a1	solute carrier family 40 member 1
ENSDARG00000000324	100007924	dcaf8	DDB1 and CUL4 associated factor 8
ENSDARG00000000349	497149	cfap300	cilia and flagella associated protein 300
ENSDARG00000000369	678619	prkag3b	protein kinase, AMP-activated, gamma 3b non-catalytic subunit
ENSDARG00000000370	368847	triob	trio Rho guanine nucleotide exchange factor b
ENSDARG00000000380	368410	pde6a	phosphodiesterase 6A, cGMP-specific, rod, alpha
ENSDARG00000000394	556290	matr3l1.2	matrin 3-like 1.2
ENSDARG00000000423	368688	si:ch73-314g15.3	si:ch73-314g15.3
ENSDARG00000000442	368686	slc39a13	solute carrier family 39 member 13
ENSDARG00000000460	60647	nitr2b	novel immune-type receptor 2b
ENSDARG00000000472	30726	cntn2	contactin 2
ENSDARG00000000474	558408	tnni1a	troponin I type 1a (skeletal, slow)
ENSDARG00000000476	368631	pms1	PMS1 homolog 1, mismatch repair system component
ENSDARG00000000489	393929	upf3b	UPF3B regulator of nonsense mediated mRNA decay
ENSDARG00000000503	58038	stx1b	syntaxin 1B
ENSDARG00000000516	368636	ankar	ankyrin and armadillo repeat containing
ENSDARG00000000529	327216	ofd1	OFD1 centriole and centriolar satellite protein
ENSDARG00000000540	368827	asnsd1	asparagine synthetase domain containing 1
ENSDARG00000000542	567899	gtf2e1	general transcription factor IIE, polypeptide 1, alpha
ENSDARG00000000551	368885	slc1a4	solute carrier family 1 member 4
ENSDARG00000000563	100001684	ttn.1	titin, tandem duplicate 1
ENSDARG00000000567	100005963	znf281a	zinc finger protein 281a
ENSDARG00000000568	325221	ell	elongation factor RNA polymerase II
ENSDARG00000000588	558950	tamalin	trafficking regulator and scaffold protein tamalin
ENSDARG00000000606	100148193	dnah6	dynein, axonemal, heavy chain 6
ENSDARG00000000631	368448	ptpn4a	protein tyrosine phosphatase non-receptor type 4a
ENSDARG00000000638	30504	opn1mw4	opsin 1 (cone pigments), medium-wave-sensitive, 4
ENSDARG00000000651	368635	osgepl1	O-sialoglycoprotein endopeptidase-like 1
ENSDARG00000000656	30665	psmb9a	proteasome 20S subunit beta 9a
ENSDARG00000000666	492339	creg2	cellular repressor of E1A-stimulated genes 2
ENSDARG00000000690	799482	sypl2b	synaptophysin-like 2b
ENSDARG00000000729	561006	daxx	death-domain associated protein
ENSDARG00000000730	368923	slc6a22.1	solute carrier family 6 member 22, tandem duplicate 1
ENSDARG00000000747	100005300	lcmt2	leucine carboxyl methyltransferase 2
ENSDARG00000000760	368916	znf511	zinc finger protein 511
ENSDARG00000000767	30117	spi1b	Spi-1 proto-oncogene b
ENSDARG00000000779	317732	scfd1	sec1 family domain containing 1
ENSDARG00000000796	431720	nr4a1	nuclear receptor subfamily 4, group A, member 1
ENSDARG00000000804	751594	rassf6	Ras association domain family member 6
ENSDARG00000000830	777634	telo2	TEL2, telomere maintenance 2, homolog (S. cerevisiae)
ENSDARG00000000837	368424	snx9a	sorting nexin 9a
ENSDARG00000000853	402922	dstyk	dual serine/threonine and tyrosine protein kinase
ENSDARG00000000857	65237	mapk14a	mitogen-activated protein kinase 14a
ENSDARG00000000861	368473	scrib	scribble planar cell polarity protein
ENSDARG00000000887	405758	zgc:56699	zgc:56699
ENSDARG00000000906	368564	skap2	src kinase associated phosphoprotein 2
ENSDARG00000000935	393205	unk	unk zinc finger
ENSDARG00000000943	402875	dzip1	DAZ interacting zinc finger protein 1
ENSDARG00000000966	561503	ncor2	nuclear receptor corepressor 2
ENSDARG00000001014	561431	myh9b	myosin, heavy chain 9b, non-muscle
ENSDARG00000001015	368610	znf384a	zinc finger protein 384 a
ENSDARG00000001057	394081	bysl	bystin-like
ENSDARG00000001127	494492	slc17a6a	solute carrier family 17 member 6a
ENSDARG00000001129	324724	dicer1	dicer 1, ribonuclease type III
ENSDARG00000001154	563166	rimbp2	RIMS binding protein 2
ENSDARG00000001162	556124	matr3l1.1	matrin 3-like 1.1
ENSDARG00000001169	64815	hsd17b8	hydroxysteroid (17-beta) dehydrogenase 8
ENSDARG00000001210	751672	arl14ep	ADP-ribosylation factor-like 14 effector protein
ENSDARG00000001220	368439	mycbp2	MYC binding protein 2
ENSDARG00000001234	678610	map4k2	mitogen-activated protein kinase kinase kinase kinase 2
ENSDARG00000001241	415211	puf60b	poly-U binding splicing factor b
ENSDARG00000001244	406751	srrm1	serine/arginine repetitive matrix 1
ENSDARG00000001249	368900	pcgf1	polycomb group ring finger 1
ENSDARG00000001259	557312	gas2	growth arrest specific 2
