#GeneID,Locus,Locus tag,Protein Name
3639712,,"CAALFM_CR00010CA","hypothetical protein CAALFM_CR00010CA"
3639677,"TLO1","CAALFM_CR00020WA","Tlo1p"
3639675,,"CAALFM_CR00040CA","hypothetical protein CAALFM_CR00040CA"
3639674,"INO2","CAALFM_CR00050WA","Ino2p"
3639673,,"CAALFM_CR00060CA","hypothetical protein CAALFM_CR00060CA"
3639672,"BNR1","CAALFM_CR00070WA","Bnr1p"
3639669,"MIS12","CAALFM_CR00080WA","Mis12p"
3639734,,"CAALFM_CR00090CA","hypothetical protein CAALFM_CR00090CA"
3639732,"EPL1","CAALFM_CR00100CA","Epl1p"
3639731,,"CAALFM_CR00110WA","hypothetical protein CAALFM_CR00110WA"
3639710,"MKC1","CAALFM_CR00120CA","mitogen-activated serine/threonine-protein kinase"
3639709,,"CAALFM_CR00130CA","hypothetical protein CAALFM_CR00130CA"
3639708,"REP1","CAALFM_CR00140WA","Rep1p"
3639707,"POT1","CAALFM_CR00150CA","acetyl-CoA C-acyltransferase"
3639706,,"CAALFM_CR00160CA","hypothetical protein CAALFM_CR00160CA"
3639705,"ZCF38","CAALFM_CR00170WA","Zcf38p"
3639704,"CHT1","CAALFM_CR00180CA","Cht1p"
3639703,"NGS1","CAALFM_CR00190WA","Ngs1p"
3639701,"PCK1","CAALFM_CR00200WA","phosphoenolpyruvate carboxykinase"
3639700,"ALK2","CAALFM_CR00210WA","Alk2p"
3639699,,"CAALFM_CR00220WA","hypothetical protein CAALFM_CR00220WA"
3639698,,"CAALFM_CR00230WA","hypothetical protein CAALFM_CR00230WA"
30515363,"LSM6","CAALFM_CR00240WA","U4/U6-U5 snRNP complex subunit"
30515364,"ATP17","CAALFM_CR00250WA","F1F0 ATP synthase subunit f"
3639697,"KIN2","CAALFM_CR00260WA","serine/threonine protein kinase"
3639720,,"CAALFM_CR00270CA","hypothetical protein CAALFM_CR00270CA"
3639719,,"CAALFM_CR00280CA","hypothetical protein CAALFM_CR00280CA"
3639717,,"CAALFM_CR00290WA","hypothetical protein CAALFM_CR00290WA"
3639716,"CDA2","CAALFM_CR00300WA","chitin deacetylase"
3639715,,"CAALFM_CR00310CA","hypothetical protein CAALFM_CR00310CA"
3639714,"NAP1","CAALFM_CR00320CA","histone chaperone"
3639713,"PXA1","CAALFM_CR00330CA","ATP-binding cassette long-chain fatty acid transporter"
30515365,,"CAALFM_CR00340CA","hypothetical protein CAALFM_CR00340CA"
3639686,,"CAALFM_CR00350WA","nicotinamide-nucleotide adenylyltransferase"
3639685,"LEU1","CAALFM_CR00360CA","3-isopropylmalate dehydratase"
3639684,,"CAALFM_CR00370WA","cullin"
3639682,,"CAALFM_CR00380WA","hypothetical protein CAALFM_CR00380WA"
3639681,"MMS22","CAALFM_CR00390WA","Mms22p"
3639679,"SWC4","CAALFM_CR00400CA","Swc4p"
3639678,"RTT109","CAALFM_CR00410WA","H3 histone acetyltransferase"
3639728,,"CAALFM_CR00420WA","hypothetical protein CAALFM_CR00420WA"
30515366,,"CAALFM_CR00430CA","hypothetical protein CAALFM_CR00430CA"
3639727,"LRG1","CAALFM_CR00440CA","Lrg1p"
3639726,,"CAALFM_CR00460CA","snoRNA-binding rRNA-processing protein"
3639725,,"CAALFM_CR00470WA","hypothetical protein CAALFM_CR00470WA"
3639724,"MRPL6","CAALFM_CR00480WA","mitochondrial 54S ribosomal protein YmL16"
3639723,,"CAALFM_CR00490WA","mitochondrial 54S ribosomal protein YmL9"
3639722,"ADE1","CAALFM_CR00510CA","phosphoribosylaminoimidazolesuccinocarboxamide synthase"
3639721,"CRM1","CAALFM_CR00520CA","exportin"
3639668,,"CAALFM_CR00530WA","hypothetical protein CAALFM_CR00530WA"
3639667,"MDH1","CAALFM_CR00540CA","malate dehydrogenase"
3639665,"NTH1","CAALFM_CR00560WA","alpha,alpha-trehalase NTH1"
3639664,,"CAALFM_CR00570WA","trans-hexaprenyltranstransferase"
3639663,"YRB1","CAALFM_CR00580WA","Ran GTPase-binding protein"
3639662,"PHO81","CAALFM_CR00590WA","Pho81p"
3639660,,"CAALFM_CR00600CA","hypothetical protein CAALFM_CR00600CA"
3639694,"IFF4","CAALFM_CR00610WA","Iff4p"
3639691,"ARG1","CAALFM_CR00620CA","argininosuccinate synthase"
3639690,,"CAALFM_CR00630WA","hypothetical protein CAALFM_CR00630WA"
3639688,"ACC1","CAALFM_CR00640WA","acetyl-CoA carboxylase"
3639659,,"CAALFM_CR00650WA","hypothetical protein CAALFM_CR00650WA"
3639658,,"CAALFM_CR00660WA","hypothetical protein CAALFM_CR00660WA"
3639655,,"CAALFM_CR00670CA","tRNA:m4X modification enzyme"
3640391,"BUD22","CAALFM_CR00680WA","Bud22p"
3640390,,"CAALFM_CR00690CA","hypothetical protein CAALFM_CR00690CA"
3640442,,"CAALFM_CR00700WA","hypothetical protein CAALFM_CR00700WA"
3640440,,"CAALFM_CR00710CA","3-oxoacyl"
3640441,,"CAALFM_CR00720WA","hypothetical protein CAALFM_CR00720WA"
3640439,"BMT3","CAALFM_CR00740CA","Bmt3p"
3640438,,"CAALFM_CR00750CA","[Histone H3]-lysine-36 demethylase [Candida albicans SC5314]"
3640436,"HYR4","CAALFM_CR00760CA","Hyr4p"
3640435,"GSY1","CAALFM_CR00780CA","glycogen (starch) synthase"
3640416,"PWP2","CAALFM_CR00800CA","snoRNA-binding rRNA-processing protein"
